id;rate;title;description;image_url;recipe_id;user_id;created_date
1;2;Needs Improvement;The flavor was too strong and overwhelming.;http://localhost:8080/images/database/sweet-and-sour-chicken-2.jpg;1;4;2024-11-06T00:00:00
2;3;Decent;Fairly memorable, but not extraordinary.;http://localhost:8080/images/database/sweet-and-sour-chicken-3.jpg;1;9;2024-11-06T00:00:00
3;1;Disappointing;Disconnected flavors, not very enjoyable.;http://localhost:8080/images/database/spaghetti-carbonara-2.jpg;2;6;2024-11-05T00:00:00
4;4;Quite Good;Great overall, though there’s room for improvement.;http://localhost:8080/images/database/spaghetti-carbonara-3.jpg;2;7;2024-11-05T00:00:00
5;5;Outstanding;Perfectly balanced and absolutely delicious!;http://localhost:8080/images/database/hungarian-goulash-2.jpg;3;10;2024-11-04T00:00:00
6;3;Decent;Fairly flavorful, but not exceptional.;http://localhost:8080/images/database/hungarian-goulash-3.jpg;3;2;2024-11-04T00:00:00
7;5;Fantastic;Just what I wanted, perfectly prepared!;http://localhost:8080/images/database/chicken-tacos-2.jpg;4;11;2024-11-03T00:00:00
8;4;Quite Good;Flavorful, but could be spicier.;http://localhost:8080/images/database/chicken-tacos-3.jpg;4;5;2024-11-03T00:00:00
9;4;Quite Good;Tasty overall, a solid dish.;http://localhost:8080/images/database/butter-chicken-2.jpg;5;8;2024-11-02T00:00:00
10;3;Decent;A bit too creamy for my liking.;http://localhost:8080/images/database/butter-chicken-3.jpg;5;4;2024-11-02T00:00:00
11;5;Amazing and Flavorful;Everything was fresh and tasted amazing.;http://localhost:8080/images/database/sushi-roll-2.jpg;6;6;2024-11-01T00:00:00
12;4;Quite Tasty;A bit salty, but delicious.;http://localhost:8080/images/database/sushi-roll-3.jpg;6;9;2024-11-01T00:00:00
13;3;Fairly Good;Tasty, but lacking something special.;http://localhost:8080/images/database/pad-thai-2.jpg;7;2;2024-10-31T00:00:00
14;5;Exceptional;Amazing flavors, would definitely have again.;http://localhost:8080/images/database/pad-thai-3.jpg;7;3;2024-10-31T00:00:00
15;4;Very Tasty;Nicely done, with a great mix of flavors.;http://localhost:8080/images/database/wonton-soup-2.jpg;8;10;2024-10-30T00:00:00
16;3;Average;Decent, but not the best I’ve had.;http://localhost:8080/images/database/wonton-soup-3.jpg;8;5;2024-10-30T00:00:00
17;5;Absolutely Delicious;One of the best dishes I’ve tried recently!;http://localhost:8080/images/database/tiramisu-2.jpg;9;2;2024-10-29T00:00:00
18;4;Satisfying;Really nice, but could use a little more sweetness.;http://localhost:8080/images/database/tiramisu-3.jpg;9;6;2024-10-29T00:00:00
19;4;Quite Good;Flavorful and satisfying, worth a try.;http://localhost:8080/images/database/hungarian-mushroom-soup-2.jpg;10;3;2024-10-28T00:00:00
20;3;Fairly Good;A bit too heavy, but decent.;http://localhost:8080/images/database/hungarian-mushroom-soup-3.jpg;10;7;2024-10-28T00:00:00
21;5;Delightful;Absolutely loved it! Delicious and comforting.;http://localhost:8080/images/database/enchiladas-verdes-2.jpg;11;9;2024-10-27T00:00:00
22;4;Very Enjoyable;Tasty, could have been spicier.;http://localhost:8080/images/database/enchiladas-verdes-3.jpg;11;4;2024-10-27T00:00:00
23;4;Flavorful;Nice balance of flavors, well-cooked.;http://localhost:8080/images/database/palak-paneer-2.jpg;12;6;2024-10-26T00:00:00
24;5;Superb;One of the best palak paneers I’ve had.;http://localhost:8080/images/database/palak-paneer-3.jpg;12;8;2024-10-26T00:00:00
25;3;Average;Decent, but nothing remarkable.;http://localhost:8080/images/database/miso-soup-2.jpg;13;3;2024-10-25T00:00:00
26;4;Quite Tasty;Not bad, but I've had better.;http://localhost:8080/images/database/miso-soup-3.jpg;13;5;2024-10-25T00:00:00
27;5;Delicious;Tasted amazing, would definitely order again.;http://localhost:8080/images/database/green-curry-2.jpg;14;7;2024-10-24T00:00:00
28;4;Quite Good;Spicy and flavorful, just a little too much heat.;http://localhost:8080/images/database/green-curry-3.jpg;14;6;2024-10-24T00:00:00
