id;title;description;ingredient_names;food_category;food_type;image_url;user_id;created_date
1;Sweet and Sour Chicken;Classic Chinese dish made with crispy chicken in a tangy sweet and sour sauce.;Chicken,Cornstarch,Vegetable oil,Sugar,Vinegar,Soy sauce,Sesame seeds;CHINESE;APPETIZER;http://localhost:8080/images/database/sweet-and-sour-chicken.jpg;10;2024-10-18T00:00:00
2;Spaghetti Carbonara;Traditional Italian pasta dish made with eggs, cheese, pancetta, and pepper.;Spaghetti,Pancetta,Eggs,Parmesan;ITALIAN;NOODLE;http://localhost:8080/images/database/spaghetti-carbonara.jpg;8;2024-10-19T00:00:00
3;Hungarian Goulash;Hearty stew made with beef, potatoes, and plenty of paprika.;Beef,Paprika,Onion,Garlic,Potatoes,Carrots,Broth;HUNGARIAN;STEW;http://localhost:8080/images/database/hungarian-goulash.jpg;9;2024-10-20T00:00:00
4;Chicken Tacos;Soft tortillas filled with seasoned chicken, fresh vegetables, and salsa.;Chicken,Tortillas,Vegetables,Salsa;MEXICAN;APPETIZER;http://localhost:8080/images/database/chicken-tacos.jpg;3;2024-10-21T00:00:00
5;Butter Chicken;Rich Indian curry made with marinated chicken in a creamy tomato sauce.;Chicken,Garlic paste,Tomato sauce,Cream;INDIAN;SAUCE;http://localhost:8080/images/database/butter-chicken.jpg;7;2024-10-22T00:00:00
6;Sushi Roll;Japanese sushi with rice, nori, and various fillings like fish or vegetables.;Rice,Nori,Fish,Avocado;JAPANESE;APPETIZER;http://localhost:8080/images/database/sushi-roll.jpg;11;2024-10-23T00:00:00
7;Pad Thai;Thai stir-fried noodles with shrimp, tofu, peanuts, and a tangy tamarind sauce.;Rice noodles,Shrimp,Tofu,Tamarind paste,Peanuts;THAI;NOODLE;http://localhost:8080/images/database/pad-thai.jpg;4;2024-10-24T00:00:00
8;Wonton Soup;Chinese soup with wontons filled with minced pork and shrimp in a savory broth.;Wonton wrappers,Pork,Shrimp,Soy sauce,Ginger;CHINESE;SOUP;http://localhost:8080/images/database/wonton-soup.jpg;5;2024-10-25T00:00:00
9;Tiramisu;Italian layered dessert made with coffee-soaked ladyfingers, mascarpone, and cocoa.;Ladyfingers,Coffee,Egg yolks,Cocoa,Sugar,Cocoa powder,Whipping cream;AUSTRALIAN;DESSERT;http://localhost:8080/images/database/tiramisu.jpg;6;2024-10-26T00:00:00
10;Hungarian Mushroom Soup;Creamy soup with mushrooms and paprika, flavored with sour cream and herbs.;Mushrooms,Butter,Paprika,Sour cream,Broth;HUNGARIAN;SOUP;http://localhost:8080/images/database/hungarian-mushroom-soup.jpg;2;2024-10-27T00:00:00
